CCOGID,Category,Definition,Occupational Group 1 / Level 1,Occupational Group 2 / Level 2
1.H.03,IP,"Apply the theories and techniques of psychology as follows: collect, interpret and apply scientific data relating to human behaviour and mental processes; plan and carry out experiments and observations on human beings and animals, investigating problems of individual development, human relationships and processes of learning and teaching; study behaviour and develop psychological principles and techniques; develop methods for use in psychological research and prepare testing material and norms; diagnose mental disorders and the needs of individuals; provide individual and group guidance and counselling services and carry out corrective programmes; investigate methods of programming psychological information for electronic data processing; develop and administer psychological tests and interpret results; and apply psychological principles and techniques to personnel management, marketing, industrial design and other areas.",Psychologists,NULL
1.H.05,IP,"Apply the theories and techniques of fishing as follows: study and advise on improved fishing methods and techniques, including the handling, preservation and marketing of fish and fish products; advise and assist in the improvement of fish conservation through sound management practices; promote family and community fishing and marketing for home consumption and local markets; advise on the use of fish as food, fertilizer and other products; and collect, compile and interpret data concerning fish growth, migration, feeding habits and enemies and devise methods to control such factors. Apply the scientific principles of fish husbandry or aquaculture in order to evaluate and advise on the development of appropriate habitats and the selection of viable strains, the scheduling of seeding and harvest, arrangements for feeding and protection and other requirements for the production of fish or aquaculture products of desired quality and for the maintenance of health and resistance of fish or plants; and develop and advise on methods for harvesting, processing, holding and transportation of fish-farming or aquaculture products.",Fishery specialists,NULL
1.H.06,IP,"Apply the theories and techniques of forest resources management, including forest technology, dendrology, mensuration, remote sensing and surveys, to locate, monitor, map and evaluate forest areas and the composition, content and usefulness of forest resources and to determine the role of forests in environment and land use; apply the theories and techniques of silviculture, forest genetics, tree improvement and biometrics to plan the growth, development and sustained productivity of forest crops, both natural and cultivated, and forest conservation for environmental and gene-resource objectives; restore or create forests through reforestation or afforestation, using natural regeneration methods, species selection, genetically improved seed and nursery or other methods of propagation; prepare sites under a wide variety of soil and climatic conditions; promote integrated forest land use by the application of agro-forestry and the involvement of local communities with forestry extension techniques; organize access to and ensure the sound harvesting and transport of forest products with minimum ecological and environmental damage; determine the optimum distribution of forest products for construction, industry, pharmaceuticals, fodder, food and energy, using statistical and economic techniques to analyse production and consumption; and plan the protection and conservation of forest and wildlife resources, using techniques of forest pathology, forest entomology and meteorology, and technologies of chemical or biological disease and insect control, fire prevention and suppression, as well as techniques of public relations and forestry extension.",Forestry specialists,NULL
1.H.07,IP,"Apply scientific principles and techniques to study and develop means for describing, protecting, using and improving soil. Study the characteristics, use capabilities and productivity of soils and apply the findings to the development of improved agricultural, horticultural and forestry practices; study the origins, composition and distribution of soils and classify them according to standard types; investigate the response of soil types to tillage, fertilization, crop-rotation and other falling practices, and study the effects of alternative practices on long-term productivity; analyse soil content to determine the amount of nitrogen, phosphorus, iron and other nutrients present; carry out research to determine the best soil types for different plants; and develop and advise on the methods of altering soil characteristics by changing the amount of nutrients, bacteria or other elements. Plan and develop coordinated practices for soil-erosion control, moisture conservation and sound land use.",Soil scientists,NULL
1.H.08,IP,"Apply the theories and techniques of toxicology as follows: identify and evaluate the adverse effects produced by toxic substances in humans, animals and/or the environment; analyse and test toxicity of compounds in food; evaluate the risks associated with short and long term exposure to these compounds;    develop methods for the prevention of these effects and for appropriate therapeutic measures; and develop guidelines on the safe use of toxins.",Toxicologists,NULL
1.i,IP,"This job family includes occupations concerned with promoting good health, preventing and diagnosing ailments, prescribing and giving medical and surgical treatment for diseases and illnesses and developing patient care- services.",Medical and health-related specialists,NULL
1.I.02,IP,"Apply the theories and techniques of dietetics and nutrition as follows: plan and supervise the preparation of therapeutic or other diets for individuals or for groups in hospitals, institutions and other establishments and for workers in particular sectors; participate in programmes of nutrition education and in nutrition rehabilitation activities; plan and co-ordinate nutrition programmes; and advise on nutrition aspects of community food problems and health programmes.",Dieticians and nutritionists,NULL
1.I.02.b,IP,"Apply the theories and techniques of public health nutrition as follows: appraise various factors related to nutrition and food problems in a community or geographical area and plan and advise on nutrition elements of health programmes; investigate the state of nutrition in the community or geographic area and serve as nutrition adviser on health programmes; plan, coordinate and advise on the nutrition elements of health programmes; participate in programmes of nutrition education and in nutrition rehabilitation activities for particular groups in the community or geographic area. Research, develop, study and advise on nutritional properties of food and food substances; study the nutritional aspects of changes in food values due to processing, additives and other interventions and exposures during food production, processing and distribution; evaluate and advise on the nutritional aspects of area, national and international food planning; develop and evaluate existing criteria for food and nutrition policies in agricultural, rural and urban development and recommend improvements; formulate and implement nutrition assessment and development programmes; and appraise the levels and trends of food consumption in relation to nutrition requirements on the regional, national and group level.",Dieticians and nutritionists,b. Public health nutritionists and nutrition analysts
1.I.03,IP,"Apply the theories and techniques of medicine, carrying out or advising on the following diagnostic, preventive and curative services in respect of human illnesses or injuries: examination, diagnosis and treatment of diseases, disorders and injuries; the application of treatment and preventive medical techniques; and the formulation and implementation of public health programmes.",Medical specialists,NULL
1.I.03.b,IP,Apply the theories and techniques of epidemiology with a view to defining the extent and pattern of diseases so that practical preventive and curative measures can be formulated; compile and analyse data to determine the frequencies and distribution of diseases in the human community; and define the trends and extent of human illness.,Medical specialists,b. Epidemiologists
1.I.03.g,IP,"Apply the theories and techniques of family health as follows: plan, manage and evaluate health  promotion  and preventive family health services such as the health and nutritional care of the family as a whole and of vulnerable members, such as the pregnant woman, the new-born child and older infant, the pre-school and school-aged child, the adolescent, the aged, the handicapped and the physically or mentally ill family member; planning, managing and evaluating services assisting the family in the determination of family size, timing and spacing, including education in reproductive health and family dynamics; the analysis and dissemination of information on the effects of reproductive behaviour and fertility on health at the individual, family and global levels and on hygiene, nutrition and life-style promotion of health; and instructing health staff and health-related workers on the above subjects.",Medical specialists,g. Family health specialists
1.I.03.i,IP,"Apply the theories and techniques of immunology as follows: study the immune response against infectious agents, their role in immune - pathological conditions and auto-immunity; diagnose and treat immunological diseases such as immune - deficiencies and allergic disease; apply immunological techniques for vaccine development; and develop immunological techniques for use in diagnosis and treatment.",Medical specialists,i. Immunologists
1.I.03.k,IP,"Apply the theories and techniques of medicine, carrying out and advising on diagnostic, preventive and curative services in respect to non-communicable diseases; plan, test and promote interventions concerned with the prevention and treatment of non-communicable diseases; plan and conduct research to improve therapeutic methods; examine for symptoms indicative of the disease; diagnose the disorder; determine the medication, diet and work activity required; and apply laboratory methodologies.",Medical specialists,k. Non-communicable disease specialists
1.I.03.m,IP,"Apply theories and techniques related to mental health as follows: plan, implement and evaluate mental health programmes and their various components such as those dealing with the psychosocial aspects of health; psychosocial factors and development, the prevention and management of mental and neurological disorders, the co-ordination and stimulation of research in behavioural sciences; collect and organize data concerning family and health history; use laboratory and diagnostic tests; and determine the nature and extent of the mental disorder and formulate a treatment programme.",Medical specialists,m. Mental health specialists
1.I.03.n,IP,"Apply the theories and techniques of public health as follows: advise on the development, implementation and evaluation of public health programmes and laws for safeguarding and promoting community health; advise on and institute campaigns and action to promote community health, advising on measures to improve public health, including action regarding sanitation, immunization, family planning, education, and the organization of health services; and co-ordinate work with officials of other sectors.",Medical specialists,n. Public health specialists
1.I.03.o,IP,"Apply the theories and techniques of radiology, carrying out or advising on the following diagnostic, preventive and curative services in respect of human illnesses or injuries: the use of X-rays and radioactive substances; the administration of radiopaque substances by injection, orally or enema to render internal structures and organs visible on X-ray films or fluoroscopic screens; the examination of the internal structure and functioning of organ systems; the diagnosis of conditions; and the treatment of benign and malignant internal and external growths by exposure to radiation from X-rays, high-energy sources and natural and man-made radioisotopes directed at or implanted in affected areas of the body.",Medical specialists,o. Radiologists
1.I.03.s,IP,"Apply the theories and techniques of medicine, carrying out and advising on diagnostic, preventive and curative services in respect of communicable diseases; plan, test and promote interventions concerned with the prevention and treatment of communicable diseases; plan and conduct research to improve therapeutic methods and technologies for interrupting the transmission of diseases; examine for symptoms indicative of the disease, including a study of the interrelationships of the parasite, the host and the environment; determine the appropriate intervention technology for breaking the chain of transmission; and apply laboratory methodologies.",Medical specialists,s. Communicable disease specialists
1.I.03.t,IP,"Apply the theories and techniques of occupational health, carrying out or advising on the following essentially preventive services: occupational health and safety measures for establishing and maintaining a safe and healthy working environment; and the adaptation of workplace requirements to the workers; identify and assess factors of work environmental and practices which may affect workers' health, both through direct inspection of workplaces and co-ordination of environmental monitoring in them; advise on the planning and organization of work, including the design of workplaces, machinery or other equipment and on substances used in work; examine the workers, assess their suitability for work from the medical point of view as well as the effects of work on their health, recording and analysing the data obtained; treat cases of occupational diseases; investigate the causes of sickness and injuries in relation to work and propose the means of prevention; organize first-aid and emergency treatment; advise on occupational health, safety and hygiene and on ergonomics and individual and collective protective equipment; and provide information, education and training in the fields of occupational health, hygiene and ergonomics.",Medical specialists,t. Occupational health specialists
1.I.04,IP,"Apply the theories and sciences of nursing practice, management, education and research; assess the need for, and plan, implement, manage and evaluate, nursing services at, and between, all levels of health systems; advise appropriately on health and nursing matters in ministries of health, hospitals, clinics, health centres, workplaces and all other relevant community settings; establish and maintain standards of nursing practice, including the quality of nursing care; devise, organize and conduct programmes of nursing education and research; and work as team members or leaders in hospital and community settings and with colleagues of the health and other sectors.",Nursing specialists,NULL
1.I.06,IP,"Apply the theories and techniques of pharmacology, carrying out or advising on the following services: compounding and dispensing drugs and medicines, following prescriptions or formulas; weighing, measuring and mixing drugs and other medicinal compounds; handling and dispensing poisons and toxic substances required for medical, domestic or other purposes; storing and preserving biologicals, vaccines, sera and other drugs subject to deterioration; performing tests to determine the identity, purity and strength of drugs; and maintaining drug, chemical and other pharmaceutical supplies.",Pharmacists,NULL
1.I.08,IP,"Apply theories and techniques of veterinary medicine, carrying out or advising on the following diagnostic, preventive and curative services in respect of the diseases and disorders of animals: the determination of the nature of diseases or injuries and the treatment of animals surgically or medically; the testing of dairy and other herds for disease; the inoculation of animals against disease; the care and breeding of animals; the inspection of animals intended for human consumption before and after slaughtering; the inspection of sanitary conditions in slaughterhouses, processing plants and other establishments concerned with the handling and preparation of food of animal origin for human consumption; the investigation of cases of animal diseases communicable to humans and the initiation of action to control and prevent their spread.",Veterinarians,NULL
1.I.09,IP,"Apply the theories and techniques concerned with the treatment and rehabilitation of patients with impairments, disabilities or handicaps in order to develop or restore functions, prevent loss of capacities and maintain optimal performance; plan, develop and implement programmes concerned with the physical (sensory, motor, visual), mental (intellectual and other psychological disorders) and occupational rehabilitation of patients; identify and adapt rehabilitative technology best suited to specific situations; and develop training methods and materials appropriate for specific impairments, disabilities or handicaps.",Rehabilitation specialists,NULL
1.I.10,IP,"Apply theories or techniques applicable to the development of clinical or public health laboratories as follows: advise on the planning, organization, administration, direction and evaluation of programmes for the development of national health laboratories; plan health laboratory facilities; promote the improvement of laboratory performance through quality assurance programmes; initiate collaborative programmes designed to improve laboratory efficiency; and promote the development of appropriate technology and the improvement of laboratory equipment.",Health laboratory specialists,NULL
1.j,IP,This job family includes occupations concerned with research and the practical application of scientific knowledge pertaining to inanimate natural objects constituting the physical universe.,Physical scientists,NULL
1.J.02,IP,"Apply the theories and techniques of chemistry as follows: perform chemical experiments, tests and analyses to investigate chemical phenomena, to develop and improve materials and products and to assist in developing or controlling industrial processes; conduct research to determine the composition, properties and interaction of substances and their reaction to changes in heat, light, pressure and other physical factors; apply known principles, methods and techniques of chemistry to develop and advise on new or improved products and uses for existing products and methods of production; and perform and advise on chemical tests and analyses for process and quality control.",Chemists,NULL
1.J.02.a,IP,"Apply the theories and techniques of analytical chemistry as follows: undertake chemical tests and analyses of substances and develop and advise on analytical methodology, techniques and procedures; carry out qualitative and quantitative analyses to determine the relationship between molecular structure and chemical and physical properties of organic and inorganic compounds; determine the rate of deterioration of stored chemicals and compounds; conduct experiments and formulate analytical techniques, methodology and procedures based on observations and conclusions of experimentation; develop techniques for the use of different types of instruments, such as spectroscopes, electron microscopes and fluoroscopes; and prepare or supervise the preparation of laboratory reports and specifications.",Chemists,a. Analytical chemists
1.J.03,IP,"Apply the theories and techniques of geography and cartography as follows: study the characteristics of the earth's physical and climatic environment, distribution of population and human activities; observe, collect, measure and analyse data and map socio-economic, political, cultural, historical and physical characteristics of landscapes; advise Governments and international, industrial and other organizations on such matters as the determination of physical and ethnic boundaries between States, the economic exploitation of specific areas or regions, potential markets and optimum trade routes; and construct maps, graphs and charts to illustrate findings. Develop, adapt, apply and evaluate methods of graphically presenting geographic information using maps and charts; advise on the most appropriate means of depicting topographical features, natural resources, political and cultural boundaries, climatic conditions, navigation and trade routes, and other geographically oriented factors; interpret scientific and mathematical data regarding the location and configuration of bodies of land and water; and design and construct maps and charts.",Geographers and cartographers,NULL
1.J.04,IP,"Apply the theories and techniques of geology, geophysics and hydrology as follows: study the composition, structure and history of the earth's crust; study the physical nature of the earth from environment in space and atmosphere to centre of core; study the distribution, disposition and development of water of land areas, including the form and intensity of precipitation and the modes of return to the ocean and the atmosphere.","Geologists, geophysicists and hydrogeologists",NULL
1.J.04.c,IP,"Apply the theories and techniques of hydrology as follows: study and advise on the distribution, disposition, circulation and development of waters, including the form and intensity of precipitation, the modes of return to the ocean and the atmosphere, chemical and physical properties and interaction with the environment; map and chart the water flow and the disposition of sediment; measure changes in water volume due to the evaporation and melting of snow; study storm occurrences and the nature and movement of glaciers, and determine the rate of ground absorption and the ultimate disposition of water; evaluate and prepare data obtained for application to human activities and the health of the environment with respect to such problems as flood and drought forecasting, soil and water conservation, and planning of water supply, flood control, drainage, irrigation, crop production and navigational projects; study and advise on the design, establishment and control of the networks of hydrological stations and the collection, transmission, processing, storing, retrieval and publication of hydrological data; and prepare hydrological forecasts and warnings.","Geologists, geophysicists and hydrogeologists",c. Hydrologists
1.J.05,IP,"Apply the theories and techniques of meteorology and climatology as follows: carry out or advise on research into the physical nature and properties of the earth's atmosphere and the forces affecting it; develop or improve on practical applications, such as weather forecasts; study and advise on the establishment of networks of stations for making forecasts and observations, and other geophysical observations related to meteorology; study and advise on the establishment and maintenance of centres providing meteorological and related services, the development of systems for the rapid exchange of meteorological and related observations, the collection, collation and storing of climatological data and applications of meteorological and climatological information to human activities and health of environment, and the preparation of weather forecasts for general or specialized (aviation, shipping, industrial, etc.) use.",Meteorologists,NULL
1.J.06,IP,"Apply the theories and techniques of physics as follows: research physical phenomena to develop and improve materials, products and industrial and other processes; perform experiments, tests and analyses to investigate the structure and properties of matter, the transformation and propagation of energy and the relationship of matter to energy, such as mechanics, heat, light, sound, electricity, magnetics and electronics and nuclear physics; experiment to discover, develop and advise on the industrial, medical and other practical applications of laws and theories of physics; and apply mathematical techniques to express and analyse observations and formulate conclusions.",Physicists,NULL
1.J.06.f,IP,"Apply the theories and techniques of nuclear physics as follows: conduct research into the structure and characteristics of atoms, molecules and nuclei to discover or improve on practical 'applications of atomic, molecular and nuclear physics; investigate the properties of atoms and molecules and the decay of radioactive nuclei; conduct experiments to discover practical applications of atomic, molecular or nuclear physics in industrial, medical or other fields; they perform tasks similar to those of physicists specializing, however, in atomic, molecular or nuclear physics.",Physicists,f. Nuclear physicists
1.J.07,IP,Apply the theories and techniques of nuclear safeguards inspection as follows: evaluate technical specifications of nuclear plants and facilities to establish nuclear material flows; assess and advise on factors to be taken into account when designing safeguards implementation procedures at nuclear plants and facilities; advise on the preparation of safeguards agreements; inspect nuclear installations to verify that nuclear materials are not used for military purposes; interpret the results of the sampling and analysis of nuclear materials to verify the validity of records and reports; and carry out non-destructive gamma and neutron measurements of fuels.,Nuclear safeguards inspectors,NULL
1.J.10,IP,"Perform scientific analytical work characterized by the application of principles and techniques from a variety of physical science disciplines (e.g./meteorology, physics) to matters concerning the development of applications of aerospace technologies and technology transfer; perform research and draft analytical studies on outer space applications (e.g., the application of satellite communications technology) for publication and use by expert committees as reference material; provide technical advice on space technology applications and prepare summaries of status of applications; and identify technologies appropriate to development needs and evaluate feasibility, costs and benefits of same.",Aerospace technology specialists,NULL
1.k,IP,"This job family includes occupations concerned with promoting and selling the organization’s products or services including marketing research, market analysis, advertising, product development and modification.",Sales and marketing specialists,NULL
1.K.01,IP,"Apply the theories and techniques of market research as follows: conduct research on local, regional, national or international market conditions to determine the existing level of demand for particular products and services and to assess the potential market demand and future trends; establish research methodology and design format for data gathering, such as surveys, opinion polls or questionnaires; examine and analyse statistical data to forecast future market trends; gather data on competitors and analyse prices, sales, and marketing and distribution methods; collect data on customer preferences and buying habits; prepare reports and graphic illustrations of findings; advise on the development and improvement of credit and other marketing-related financial systems; and advise on the development and operation of specialized marketing institutions, such as cooperative associations.",Marketing analysts,NULL
1.K.02,IP,"Evaluate and plan the development of new products or the modification of existing products based on an assessment of market research, financial analyses and the technology of production processes; develop new uses and adaptations for existing products; evaluate market research data and confer with sales personnel to determine the areas of demand for new products; confer with engineering and service personnel to determine deficiencies in the organization's or competitor's products; develop ideas for creating new, or modifying existing, products; coordinate and evaluate engineering reports on the feasibility of design given the current and future production processes and technology, the market analyses of characteristics of potential market and the financial analyses of production costs to determine commercial feasibility of the proposed products; and review the technical reports of products developed, patent and copyright clearances and trends in engineering and design applications, using such sources as technical bulletins, industry contacts and sales analyses.",Product planners and sales specialists,NULL
1.l,IP,This job family includes occupations concerned with human society and its characteristic elements and with economic and social relations and institutions involved in the existence of human beings as members of organised communities.,Social Scientist,NULL
1.L.01,IP,"Apply the theories and techniques of anthropology as follows: make comparative studies of the evolution, distribution and physical characteristics of humans and of the origin, development and functioning of human societies and culture; gather, analyse and report data on social cultural behaviour, artefacts, such as weapons, tools, pottery and clothing, language and the human biology of the groups being studied; reconstruct a record of extinct cultures, especially pre-literate cultures, by studying material remains obtained from archaeological excavations; study and advise on the development and interrelationship of languages and language groups as they relate to the culture of the society; make comparative studies of societies and cultures or of selected aspects of cultures of living and extinct peoples to determine historical relations or arrive at typological classifications; study and advise on the means and cause of human physical differences and the interrelated effects of culture, heredity and environment on human forms; and apply anthropological data and techniques to the solution of problems in human relations in such fields as industrial relations, race and ethnic relations, social work, political administration, education, public health and programmes involving transcultural or foreign relations.",Anthropologists,NULL
1.L.01.a,IP,"Perform functions in reference to human settlements, including the evaluation and analysis of human settlement needs, and the design or evaluation of plans to meet these needs, including such relevant aspects as organization financing of shelter and community services, integration of low-income and squatter settlements, development and management of housing organizations and mobilization of public participation; provide technical direction for implementation of plans for development of human settlements; and organize and develop the financial and technical support necessary for the implementation of plans.",Human Settlements specialists,NULL
1.L.03,IP,"Apply the theories and techniques of political science as follows: study the theory, origin, development, interrelationship and functions of political institutions, movements and behaviour to advise on the state of international affairs and developments, and recommend new or improved methods, models and processes for the prevention or solution of political problems; study and provide advice in philosophy, theory and practice of political systems and institutions, public administration, the development of public opinion, international relations and relations between Government and business; consult original sources and study works of other political scientists and related researchers, such as philosophers, historians and sociologists; observe the working of contemporary political institutions and practices; analyse and interpret research data and present findings and conclusions in a form suitable for publication or use by governmental and non-governmental organizations.",Political Scientist,NULL
1.L.03.a,IP,"Apply the theory of political science to the study and analysis of the interrelationship and functions of political institutions, movements and behaviour to evaluate or forecast the status of relationships and the impact of policies, actions or events; evaluate the operation of and recommend improvements in methods, models and processes for the prevention or solution of political problems; and provide advice on practical means of influencing, and evaluate programmatic influences of, the philosophy and practices of political systems, institutions and party systems, particularly with regard to improving international relations or relations between Government and business. ",Political Affairs specialists,NULL
1.L.04,IP,"Help individuals and families understand and resolve their personal and social problems; interview clients and investigate the nature, extent and cause of problems, taking into account social, economic, environmental, medical, psychological and other potentially relevant factors; determine the type of assistance required; provide counsel and assistance to clients to improve their understanding of conditions and secure their cooperation in coping with problems; encourage and promote the development of social and personal adjustment; arrange for the provision of appropriate assistance, such as financial aid, employment placement, medical treatment, recreational opportunities or housing; follow the progress of the client; compile case records and prepare reports as required; and conduct research for use in understanding social problems and for planning and carrying out social welfare programmes.",Social welfare specialists,NULL
1.L.05,IP,"Apply the theories and techniques of sociology as follows: study and advise on the development, structure and behaviour of groups of human beings and patterns and interrelationship of culture and social organization; collect and analyse data and advise on social phenomena, such as family, community, associations, social institutions, minorities, social classes and social change; study the sociological effects of industrialization, urbanization, migration, population explosion, education, industrial relations, crime, politics, ecology, poverty, mass communications, disability and disease; and analyse and interpret data obtained and correlate findings with those of other research in this or related fields and provide advice accordingly.",Sociologist,NULL
1.L.05.b,IP, ,Demographers,NULL
1.L.06,IP, ,Public administration specialists,NULL
1.L.06.a,IP, ,Public health administration specialists,NULL
1.L.08,IP, ,Entrepreneurship and small enterprise development specialists,NULL
1.L.09,IP, ,Economists,NULL
1.L.09.a,IP, ,Transport economists,NULL
1.L.09.b,IP, ,Agricultural economists,NULL
1.L.09.c,IP, ,Development economists,NULL
1.L.09.d,IP, ,Econometricians,NULL
1.L.09.e,IP, ,General economists,NULL
1.L.09.f,IP, ,Industrial economists,NULL
1.L.09.g,IP, ,International trade economists,NULL
1.L.09.h,IP, ,Energy economists,NULL
1.L.09.i,IP, ,Health economists,NULL
1.L.09.j,IP, ,Natural resources economists,NULL
1.M.02,IP, ,Statisticians,NULL
1.M.05,IP, ,Operations research analysts,NULL
1.n,IP, ,Transportation specialists,NULL
1.N.01,IP, ,Aviation specialists,NULL
1.N.01.a,IP, ,Air traffic management specialists,NULL
1.N.01.b,IP, ,Flight operations specialists,NULL
1.N.01.c,IP, ,Aviation services and Safety specialists,NULL
1.N.03,IP, ,Maritime transportation specialists,NULL
1.o,IP, ,Writers and Language Specialists,NULL
1.O.02,IP, ,Editors,NULL
1.O.03,IP, ,Interpreters,NULL
1.O.05,IP, ,Terminologists,NULL
1.O.06,IP, ,Translators and revisers,NULL
1.O.07,IP, ,Writers,NULL
1.p,IP, ,"Professional, managerial and technical specialists for which no job family exists",NULL
1.q,IP, ,Postal services specialists,NULL
1.r,IP, ,Environmental specialists,NULL
1.R.01,IP, ,Environmental scientists,NULL
1.s,IP, ,Relief specialists,NULL
1.S.01,IP, ,Emergency relief specialists,NULL
1.u,IP, ,Cultural development specialists,NULL
9Z99z,IP,Occupation is not recorded,Occupation is not recorded,Occupation is not recorded
